date,code,open,high,low,close,preclose,pctChg,volume,amount,ret,nav
2026-03-16,sh.000001,4092.2491,4096.1333,4048.0866,4084.7858,4095.4485,-0.260355,73222709800,1037223833962.6,-0.002603548793251753,1.015252981377743
2026-03-17,sh.000001,4086.2953,4108.4,4049.5801,4049.9073,4084.7858,-0.853864,67877122400,951228129260.7,-0.008538636224205476,1.0065841054942184
2026-03-18,sh.000001,4053.3052,4065.3734,4023.0295,4062.9844,4049.9073,0.322899,62387310200,876327491359.6,0.0032289874881827885,1.0098343529766627
2026-03-19,sh.000001,4028.542,4042.0221,3994.1651,4006.5523,4062.9844,-1.388932,66725542200,935264956106.7,-0.013889322341478882,0.9958084381366712
2026-03-20,sh.000001,4004.5732,4022.7033,3955.7113,3957.0527,4006.5523,-1.235466,66679838700,964863108628.7,-0.012354662136820127,0.983505561330498
2026-03-23,sh.000001,3904.9513,3906.622,3794.6844,3813.2829,3957.0527,-3.633255,80473885000,1086248286013.6,-0.03633254619024917,0.9477723000950908
2026-03-24,sh.000001,3849.6312,3881.4236,3807.9937,3881.2797,3813.2829,1.783156,68062203900,931418842711.4,0.01783156450312151,0.9646725629985081
2026-03-25,sh.000001,3892.269,3933.0613,3891.8159,3931.8375,3881.2797,1.302606,68834362600,967854261244.5,0.01302606457349631,0.9772384500964069
2026-03-26,sh.000001,3924.9621,3937.1041,3880.5729,3889.0835,3931.8375,-1.08738,61597398100,848361335072.3,-0.010873796284815884,0.9666121582683692
2026-03-27,sh.000001,3852.0936,3924.1075,3852.0936,3913.7238,3889.0835,0.633576,56134296300,799696430885.6,0.006335760083320485,0.9727363809967782
2026-03-30,sh.000001,3884.2769,3924.2893,3872.7756,3923.2869,3913.7238,0.244348,59558947900,839822434665.3,0.002443478510159469,0.9751132414397942
2026-03-31,sh.000001,3924.067,3948.8107,3891.8605,3891.8605,3923.2869,-0.801022,60670498300,891945339553.7,-0.008010222245026344,0.9673023676617934
2026-04-01,sh.000001,3939.5658,3955.943,3929.9213,3948.5521,3891.8605,1.456671,56461159800,897278213909.0,0.014566709161338176,0.9813927799225965
2026-04-02,sh.000001,3940.7989,3952.5761,3900.1164,3919.2852,3948.5521,-0.741206,54421283500,811896566971.7,-0.007412058713876402,0.9741186390164358
2026-04-03,sh.000001,3927.5923,3929.5285,3871.3004,3880.0967,3919.2852,-0.999889,49269908200,713830332060.1,-0.009998889593439086,0.9643785342939993
2026-04-07,sh.000001,3884.1505,3902.6065,3875.6843,3890.1645,3880.0967,0.259473,47361507600,723905837261.2,0.002594729146827568,0.966880835385507
2026-04-08,sh.000001,3930.2507,3994.9975,3926.2489,3994.9975,3890.1645,2.694822,64413535200,1074211701270.4,0.026948217742463143,0.9929365506684902
